source,collected_at,title_raw,price,url,source_url,category_raw,rating,in_stock,availability,brand_raw,title_norm,category_norm,product_key
magalu,2026-02-12 20:50:04,Smartwatch Samsung Galaxy Watch5 BT 44mm Azul 16GB Bluetooth,1499.00,https://www.magazineluiza.com.br/smartwatch-samsung-galaxy-watch5-bt-44mm-azul-16gb-bluetooth/p/235690300/te/gaw5/,,smartwatch,4.7,True,,Samsung,smartwatch samsung galaxy watch5 bt 44mm azul 16gb bluetooth,smartwatch,f127ca6445944dbe72dafceae7af24deee0e787a
magalu,2026-02-12 20:50:02,Relógio Inteligente Para Xiaomi Prova DÁgua Bateria Durável Prata,197.97,https://www.magazineluiza.com.br/relogio-inteligente-para-xiaomi-prova-dagua-bateria-duravel-prata-spdireto/p/jk4eecbe21/te/smtw/,,smartwatch,4.43,True,,SPDIRETO,relogio inteligente para xiaomi prova dagua bateria duravel prata,smartwatch,53adb70f8a028bba0c282f6ba67f508e624f3f1d
magalu,2026-02-12 20:49:59,"SmartWatch Husky Sports 700 GPS, Preto, Pulseira Extra Azul Marinho, Com GPS - HSPH000",415.40,https://www.magazineluiza.com.br/smartwatch-husky-sports-700-gps-preto-pulseira-extra-azul-marinho-com-gps-hsph000/p/ahddc4ehjf/te/smtw/,,smartwatch,4.0,True,,Husky Sports,smartwatch husky sports 700 gps preto pulseira extra azul marinho com gps hsph000,smartwatch,f8fb2cc9c68b71107146201df97bc951714ddaaa
magalu,2026-02-12 20:49:57,Relogio Smartwatch XiaomiHaylou Solar Lite A Prova Dagua IOS e Android Masculino e Feminino Sicroniza Com Strava Pulseira Extra - XiaomiMi,300.00,https://www.magazineluiza.com.br/relogio-smartwatch-xiaomihaylou-solar-lite-a-prova-dagua-ios-e-android-masculino-e-feminino-sicroniza-com-strava-pulseira-extra-xiaomimi/p/hf0hkhe902/te/smtw/,,smartwatch,,True,,XiaomiHaylou,relogio smartwatch xiaomihaylou solar lite a prova dagua ios e android masculino e feminino sicroniza com strava pulseira extra xiaomimi,smartwatch,e171405942b708be44bd23bed1c8f2ac0bfd59f0
magalu,2026-02-12 20:49:55,Relógio inteligente WearFit Pro 64GB Chip 5G Câmera rotativa Celular de Pulso Wifi Smartwatch com sistema Android integrado PlayStore,679.99,https://www.magazineluiza.com.br/relogio-inteligente-wearfit-pro-64gb-chip-5g-camera-rotativa-celular-de-pulso-wifi-smartwatch-com-sistema-android-integrado-playstore-howear/p/ka481b056f/te/smtw/,,smartwatch,5.0,True,,Howear,relogio inteligente wearfit pro 64gb chip 5g camera rotativa celular de pulso wifi smartwatch com sistema android integrado playstore,smartwatch,a25a71650e8fc588fdc6758794f1fa3d14588c1c
magalu,2026-02-12 20:49:53,Smart Watch Relógio Inteligente Digital Recebe e Faz Ligaçoes Nfc Indução W28 Pro Troca Pulseira,171.00,https://www.magazineluiza.com.br/smart-watch-relogio-inteligente-digital-recebe-e-faz-ligacoes-nfc-inducao-w28-pro-troca-pulseira/p/jfk462ef2k/te/smtw/,,smartwatch,5.0,True,,W28 Pro,smart watch relogio inteligente digital recebe e faz ligacoes nfc inducao w28 pro troca pulseira,smartwatch,a41fbd2cc44e343a3a67b40fff92f4d19739c2f5
magalu,2026-02-12 20:49:50,Relogio Smartwatch Rosa Inteligente Para Serie 9 iPhone 8 X 12 13 14 15 - SVD Smartwatch,305.81,https://www.magazineluiza.com.br/relogio-smartwatch-rosa-inteligente-para-serie-9-iphone-8-x-12-13-14-15-svd-smartwatch/p/kd19g9e38k/te/smtw/,,smartwatch,5.0,True,,,relogio smartwatch rosa inteligente para serie 9 iphone 8 x 12 13 14 15 svd smartwatch,smartwatch,ed2a6a3a092f2d79f521f6038aef38516090994f
magalu,2026-02-12 20:49:48,SmartwatchA P P L E Watch SE GPS 2ª Geração Caixa prateada de alumínio 44 mm Pulseira Preta Midnight Modelo A2723 PM - SE segunda geração,2200.00,https://www.magazineluiza.com.br/smartwatcha-p-p-l-e-watch-se-gps-2a-geracao-caixa-prateada-de-aluminio-44-mm-pulseira-preta-midnight-modelo-a2723-pm-se-segunda-geracao/p/hhd15d59b9/te/smtw/,,smartwatch,,True,,Apple,smartwatcha p p l e watch se gps 2a geracao caixa prateada de aluminio 44 mm pulseira preta midnight modelo a2723 pm se segunda geracao,smartwatch,5c142e82b8c5f2d50b54957108820b4f513265e7
magalu,2026-02-12 20:49:46,Relógio Smartwatch Xiaomi Redmi Watch 5 Lite - Com GPS integrado (Dourado/Gold) Global,589.00,https://www.magazineluiza.com.br/relogio-smartwatch-xiaomi-redmi-watch-5-lite-com-gps-integrado-dourado-gold-global/p/hehd78fk7a/te/smtw/,,smartwatch,,True,,Xiaomi,relogio smartwatch xiaomi redmi watch 5 lite com gps integrado dourado gold global,smartwatch,9dc6195c03b01aec25dbee6d8bbc0bad4738b05d
magalu,2026-02-12 20:49:44,"Apple Watch SE GPS, Caixa Meia-Noite de Alumínio de 44 mm, Pulseira Loop Esportiva Tinto - MXEP3BE/A",2829.00,https://www.magazineluiza.com.br/apple-watch-se-gps-caixa-meia-noite-de-aluminio-de-44-mm-pulseira-loop-esportiva-tinto-mxep3be-a/p/be4aagk8gb/te/smtw/,,smartwatch,,False,,Apple,apple watch se gps caixa meia noite de aluminio de 44 mm pulseira loop esportiva tinto mxep3be a,smartwatch,49fff021f767f1abad9b82ddee9ed3d0cf552448
magalu,2026-02-12 20:49:41,"Apple Watch Series 10 GPS + Cellular, Caixa Prateada de Alumínio de 42 mm, Pulseira Esportiva Denim, Tamanho P/M - MWX33AM/A",5340.00,https://www.magazineluiza.com.br/apple-watch-series-10-gps-cellular-caixa-prateada-de-aluminio-de-42-mm-pulseira-esportiva-denim-tamanho-p-m-mwx33am-a/p/ajg8a7g23a/te/smtw/,,smartwatch,,False,,Apple,apple watch series 10 gps cellular caixa prateada de aluminio de 42 mm pulseira esportiva denim tamanho p m mwx33am a,smartwatch,51475e4d488576942b9ec77907f0bd1785f66b4e
magalu,2026-02-12 20:49:39,Relógio Garmi Smartwatch Esportivo Forerunner 55 Preto com GPS,1499.00,https://www.magazineluiza.com.br/relogio-garmi-smartwatch-esportivo-forerunner-55-preto-com-gps/p/eke98240cc/te/smtw/,,smartwatch,5.0,True,,Garmin,relogio garmi smartwatch esportivo forerunner 55 preto com gps,smartwatch,3a67dacd0ff2c80f9665bc87a2cce3533a51f797
